halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
2383100081137,13685395292160.00,187818360832.0,13873214128128.0
6388000067127,16178341740544.00,209914019840.0,16388256169984.0
3743500069131,9750059155456.00,253737992192.0,10003796721664.0
665400035137,13248218791936.00,259656892416.0,13507875569664.0
2287800178134,10611645743104.00,134038454272.0,10745684164608.0
3754500031131,9815133782016.00,232334868480.0,10047468863488.0
361600078131,12938552279040.00,397286539264.0,13335838851072.0
2850900025127,12295773093888.00,170474078208.0,12466247434240.0
4392200115127,11931355185152.00,283888156672.0,12215243505664.0
4496400035121,11538305908736.00,289759428608.0,11828065206272.0
1960700026134,10710558965760.00,97078927360.0,10807638228992.0
1346700189137,13648963567616.00,287048957952.0,13936012296192.0
1456800181121,11293625942016.00,474995228672.0,11768621432832.0
6433300027137,13305467895808.00,277237268480.0,13582705098752.0
5645500085134,16805481414656.00,188491333632.0,16993972387840.0
5699900085134,11845456887808.00,424825159680.0,12270282211328.0
3302900027134,15121832214528.00,115984048128.0,15237816254464.0
1291300085127,12631487283200.00,162399109120.0,12793886539776.0
1054700100124,10786044903424.00,321398145024.0,11107442884608.0
2229000144134,19857909219328.00,237712654336.0,20095621398528.0
2158700053134,10700146606080.00,123893612544.0,10824040054784.0
1459000129137,18335599165440.00,310328655872.0,18645927329792.0
6865100044137,11085387137024.00,246168059904.0,11331555033088.0
1510400142124,11434186506240.00,288134168576.0,11722320510976.0
2857700168121,11835045576704.00,240207872000.0,12075253366784.0
1877000068121,9284125458432.00,891430305792.0,10175555567616.0
4292700072131,10989077528576.00,166621544448.0,11155699400704.0
6906100187127,12501375778816.00,214498148352.0,12715873533952.0
5278700056137,10882355560448.00,141590528000.0,11023945826304.0
7232300043127,15673506922496.00,186222231552.0,15859728777216.0
214900077124,11970399961088.00,215656955904.0,12186057441280.0
2659500152124,15886891089920.00,360038006784.0,16246929096704.0
5002700140134,10163933151232.00,71333019648.0,10235265679360.0
2543200078131,14859005591552.00,286620221440.0,15145625452544.0
5877200041127,14341160042496.00,280513871872.0,14621674045440.0
1022800144127,13352308834304.00,494979678208.0,13847288086528.0
6475200188127,16201761685504.00,306986418176.0,16508748038144.0
959400045131,15532986204160.00,205156286464.0,15738142195712.0
2646200065124,17323328012288.00,672780058624.0,17996108005376.0
1246100037121,21554570199040.00,344310218752.0,21898880614400.0
5585000166137,10052005003264.00,102609870848.0,10154614456320.0
3555700095137,20820738965504.00,242596298752.0,21063335411712.0
883200043131,11887105277952.00,232177074176.0,12119282024448.0
2188300078137,15210307911680.00,350385864704.0,15560693776384.0
2344000095137,9981724196864.00,122112761856.0,10103837163520.0
4758700077137,16017002594304.00,72631263232.0,16089634308096.0
274200045131,16542655840256.00,164260249600.0,16706916319232.0
1320200043137,13773870989312.00,293449695232.0,14067320225792.0
1591400146127,16206966816768.00,325059870720.0,16532026425344.0
5209900155121,11952179904512.00,230607683584.0,12182787981312.0
936000024137,33709638025216.00,474580877312.0,34184219328512.0
1075500086121,9955694346240.00,147255361536.0,10102950068224.0
6085100071127,12306184404992.00,222749851648.0,12528934453248.0
2253200040134,10359155982336.00,161396260864.0,10520551751680.0
