halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
322200181323,71323686535168.00,69734686720.0,71393421033472.0
196400179347,13019221327872.00,292885757952.0,13312107479040.0
274500045365,16857526435840.00,420840636416.0,17278367170560.0
314700170331,20786909806592.00,289820377088.0,21076729921536.0
125100169331,15376851140608.00,76761325568.0,15453612146688.0
656800158355,11330067103744.00,151067131904.0,11481134399488.0
572000156355,11059357286400.00,56090189824.0,11115447713792.0
388600115355,17135966355456.00,216416518144.0,17352383004672.0
364200190373,12376465211392.00,223665242112.0,12600130666496.0
68100114432,11920943874048.00,212575649792.0,12133519589376.0
102100142373,12972381437952.00,110756749312.0,13083138326528.0
5500093411,16667563261952.00,263100628992.0,16930663563264.0
238700072355,10668910575616.00,228487380992.0,10897398431744.0
58200072421,15017742172160.00,204425068544.0,15222167306240.0
940300193323,88976480272384.00,651019136.0,88977134583808.0
29200068331,12602863255552.00,123689738240.0,12726553280512.0
15600164331,9986930376704.00,356077797376.0,10343007911936.0
243200083373,16701392420864.00,221812244480.0,16923205042176.0
157300153347,16459384225792.00,549695684608.0,17009080270848.0
216100041347,15431498727424.00,361886482432.0,15793385373696.0
648100030355,19576867782656.00,211227836416.0,19788095029248.0
303300186373,72441309167616.00,1367747461120.0,73809054924800.0
25800023338,37339766194176.00,424320204800.0,37764087152640.0
352900083338,28809619308544.00,334020968448.0,29143641096192.0
643500098331,18621845733376.00,240388784128.0,18862233878528.0
6700097464,12732974759936.00,171214422016.0,12904189394944.0
157100144365,22996213301248.00,258300575744.0,23254513221632.0
74700166355,36873963569152.00,711352451072.0,37585317527552.0
858000093347,16376111562752.00,230895271936.0,16607006949376.0
45500064392,35005554229248.00,514476802048.0,35520029655040.0
592300164338,15132241428480.00,317213868032.0,15449455591424.0
797500165355,23316289028096.00,372742848512.0,23689032630272.0
321100056373,14351569256448.00,210137497600.0,14561707032576.0
265800066338,41271750033408.00,328860762112.0,41600612827136.0
366400145323,16592098295808.00,65413992448.0,16657512660992.0
965400065331,145999225946112.00,1256264826880.0,147255487102976.0
110500032365,13094686294016.00,135417503744.0,13230103592960.0
439100041331,29259806539776.00,141814775808.0,29401622249472.0
161900125347,11658042802176.00,136846155776.0,11794889310208.0
782700034355,20227427401728.00,192310345728.0,20419738337280.0
410500182382,18582811443200.00,436641792000.0,19019453169664.0
279300054331,16896559677440.00,136733458432.0,17033292939264.0
293400100323,25478750535680.00,442822852608.0,25921572569088.0
476400069338,17911433396224.00,327894138880.0,18239327305728.0
226900108338,13193571205120.00,229833326592.0,13423404384256.0
1136000092331,25567227281408.00,412943941632.0,25980171190272.0
218300114365,24796964323328.00,447324684288.0,25244288942080.0
1265300042331,566719860965376.00,4232186167296.0,570952014364672.0
404400182355,14970902282240.00,146862456832.0,15117764788224.0
359200157365,16363100831744.00,303891447808.0,16666991788032.0
71700157331,33051272806400.00,221625417728.0,33272897732608.0
742600023331,30521893584896.00,358511575040.0,30880405913600.0
281900020365,12964574789632.00,179200229376.0,13143775379456.0
2700093475,57740202344448.00,318492344320.0,58058692624384.0
99200116411,59730567364608.00,983132995584.0,60713699639296.0
184200095365,11686675218432.00,286771347456.0,11973446074368.0
367100043365,12982790651904.00,158518280192.0,13141309128704.0
11500095382,12347832795136.00,15943075840.0,12363776393216.0
255800187373,33358335705088.00,449212612608.0,33807547760640.0
188900188401,10728779022336.00,138438885376.0,10867218317312.0
109500127373,12176036200448.00,196210327552.0,12372246790144.0
78200158355,88124583575552.00,562471436288.0,88687056519168.0
54000175432,121300806795264.00,798167465984.0,122098974457856.0
216800094338,41737552658432.00,402162712576.0,42139715108864.0
826500137347,34932692877312.00,308779548672.0,35241473343488.0
11200139373,62666622107648.00,542855299072.0,63209478291456.0
18000163338,25150869209088.00,557539393536.0,25708407554048.0
225200057347,18835228852224.00,249678413824.0,19084907380736.0
84100176347,16334475755520.00,244578795520.0,16579055058944.0
522000137347,14598781534208.00,237005176832.0,14835786973184.0
532800033338,21411447963648.00,205971062784.0,21617419747328.0
650100025338,16264215920640.00,244182974464.0,16508398862336.0
605700034365,30415203074048.00,483659087872.0,30898862948352.0
546400151347,15535588769792.00,314281230336.0,15849870065664.0
381600078365,13006210596864.00,141683130368.0,13147894185984.0
113800153411,17479462027264.00,236118900736.0,17715580370944.0
185800108373,14312534966272.00,290854404096.0,14603388977152.0
142700066347,34685478502400.00,471187062784.0,35156664516608.0
133300107411,84167291305984.00,468143276032.0,84635434352640.0
184800175365,9947885600768.00,212921810944.0,10160807346176.0
647100093355,24083949420544.00,277657714688.0,24361608151040.0
624300032355,10377377087488.00,153687834624.0,10531064774656.0
160400139382,23862758604800.00,426773217280.0,24289531133952.0
726400032338,10067622494208.00,456528429056.0,10524150464512.0
582600107382,177996447088640.00,2638392066048.0,180634832076800.0
258700021382,26100686127104.00,252517875712.0,26353204199424.0
748300187331,10255036579840.00,100248174592.0,10355284639744.0
697900125355,13690599374848.00,212167032832.0,13902766145536.0
441500053331,124357565218816.00,946820874240.0,125304387403776.0
216200052392,12092740468736.00,410385580032.0,12503125852160.0
1080500187331,13875358466048.00,179048366080.0,14054407012352.0
101400123411,38859471585280.00,496835461120.0,39356307865600.0
286600193355,12079725543424.00,173073203200.0,12252798255104.0
1003300109338,22517399945216.00,268168052736.0,22785566965760.0
453900078338,35455743557632.00,223165825024.0,35678909890560.0
202700029331,17593960235008.00,167992655872.0,17761952595968.0
361800172331,11473231282176.00,26918760448.0,11500150325248.0
867400021323,33394767429632.00,21972826112.0,33416739291136.0
780600044338,11574747070464.00,114638127104.0,11689384738816.0
144300032373,13396546158592.00,272971743232.0,13669517754368.0
604200051338,17976489148416.00,209299750912.0,18185789112320.0
397100153373,97057796784128.00,1395136004096.0,98452931346432.0
335200185347,41740153126912.00,483819716608.0,42223974481920.0
